5,市区町村コード,町丁字コード,地域識別番号,秘匿処理,秘匿先情報,合算地域,都道府県名,市区町村名,大字・町名,字・丁目名,一般世帯総数（住居の種類・住宅の所有の関係）,住宅に住む一般世帯,主世帯,持ち家,公営・都市再生機構・公社の借家,民営の借家,給与住宅,間借り,住宅以外に住む一般世帯,住居の種類「不詳」,一般世帯人員総数（住居の種類・住宅の所有の関係）  ,住宅に住む一般世帯,主世帯,持ち家,公営・都市再生機構・公社の借家,民営の借家,給与住宅,間借り,住宅以外に住む一般世帯,住居の種類「不詳」,1世帯当たり人員総数（住居の種類・住宅の所有の関係）  ,住宅に住む一般世帯,主世帯,持ち家,公営・都市再生機構・公社の借家,民営の借家,給与住宅,間借り,住宅以外に住む一般世帯,住居の種類「不詳」
4753,"13207","004005","3","","","","東京都","昭島市","玉川町","５丁目",920,842,839,472,92,249,26,3,78,-,1966,1881,1869,1214,180,441,34,12,85,-,2.1369565217,2.2339667458,2.2276519666,2.5720338983,1.9565217391,1.7710843373,1.3076923077,4.0000000000,1.0897435897,-
4754,"13207","0051","2","","","","東京都","昭島市","福島町","",1650,1643,1630,1086,-,523,21,13,7,-,4127,4105,4080,3067,-,975,38,25,22,-,2.5012121212,2.4984783932,2.5030674847,2.8241252302,-,1.8642447419,1.8095238095,1.9230769231,3.1428571429,-
4755,"13207","005101","3","","","","東京都","昭島市","福島町","１丁目",427,426,426,226,-,187,13,-,1,-,1077,1073,1073,639,-,411,23,-,4,-,2.5222482436,2.5187793427,2.5187793427,2.8274336283,-,2.1978609626,1.7692307692,-,4.0000000000,-
4756,"13207","005102","3","","","","東京都","昭島市","福島町","２丁目",667,665,657,493,-,159,5,8,2,-,1674,1667,1654,1406,-,241,7,13,7,-,2.5097451274,2.5067669173,2.5175038052,2.8519269777,-,1.5157232704,1.4000000000,1.6250000000,3.5000000000,-
4757,"13207","005103","3","","","","東京都","昭島市","福島町","３丁目",556,552,547,367,-,177,3,5,4,-,1376,1365,1353,1022,-,323,8,12,11,-,2.4748201439,2.4728260870,2.4734917733,2.7847411444,-,1.8248587571,2.6666666667,2.4000000000,2.7500000000,-
4758,"13207","0052","2","","","","東京都","昭島市","福島町","",661,626,618,132,292,192,2,8,35,-,1062,1027,1009,315,434,258,2,18,35,-,1.6066565809,1.6405750799,1.6326860841,2.3863636364,1.4863013699,1.3437500000,1.0000000000,2.2500000000,1.0000000000,-
4759,"13207","0070","2","","","","東京都","昭島市","朝日町","",2657,2638,2613,1243,264,1054,52,25,19,-,5810,5770,5716,3298,657,1667,94,54,40,-,2.1866767030,2.1872630781,2.1875239189,2.6532582462,2.4886363636,1.5815939279,1.8076923077,2.1600000000,2.1052631579,-
4760,"13207","007001","3","","","","東京都","昭島市","朝日町","１丁目",481,475,472,173,-,270,29,3,6,-,924,911,907,434,-,419,54,4,13,-,1.9209979210,1.9178947368,1.9216101695,2.5086705202,-,1.5518518519,1.8620689655,1.3333333333,2.1666666667,-
4761,"13207","007002","3","","","","東京都","昭島市","朝日町","２丁目",405,403,400,163,-,233,4,3,2,-,834,829,821,445,-,365,11,8,5,-,2.0592592593,2.0570719603,2.0525000000,2.7300613497,-,1.5665236052,2.7500000000,2.6666666667,2.5000000000,-
4762,"13207","007003","3","","","","東京都","昭島市","朝日町","３丁目",513,506,496,290,-,198,8,10,7,-,1055,1043,1018,730,-,276,12,25,12,-,2.0565302144,2.0612648221,2.0524193548,2.5172413793,-,1.3939393939,1.5000000000,2.5000000000,1.7142857143,-
4763,"13207","007004","3","","","","東京都","昭島市","朝日町","４丁目",732,732,728,278,264,178,8,4,-,-,1746,1746,1735,769,657,299,10,11,-,-,2.3852459016,2.3852459016,2.3832417582,2.7661870504,2.4886363636,1.6797752809,1.2500000000,2.7500000000,-,-
4764,"13207","007005","3","","","","東京都","昭島市","朝日町","５丁目",526,522,517,339,-,175,3,5,4,-,1251,1241,1235,920,-,308,7,6,10,-,2.3783269962,2.3773946360,2.3887814313,2.7138643068,-,1.7600000000,2.3333333333,1.2000000000,2.5000000000,-
4765,"13207","0080","2","","","","東京都","昭島市","つつじが丘","",2529,2520,2504,1694,766,38,6,16,9,-,5740,5721,5702,3958,1617,108,19,19,19,-,2.2696718070,2.2702380952,2.2771565495,2.3364817001,2.1109660574,2.8421052632,3.1666666667,1.1875000000,2.1111111111,-
4766,"13207","008001","3","","","","東京都","昭島市","つつじが丘","１丁目",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4767,"13207","008002","3","","","","東京都","昭島市","つつじが丘","２丁目",1344,1339,1332,1298,-,31,3,7,5,-,3211,3202,3195,3094,-,89,12,7,9,-,2.3891369048,2.3913368185,2.3986486486,2.3836671803,-,2.8709677419,4.0000000000,1.0000000000,1.8000000000,-
4768,"13207","008003","3","","","","東京都","昭島市","つつじが丘","３丁目",1185,1181,1172,396,766,7,3,9,4,-,2529,2519,2507,864,1617,19,7,12,10,-,2.1341772152,2.1329381880,2.1390784983,2.1818181818,2.1109660574,2.7142857143,2.3333333333,1.3333333333,2.5000000000,-
4769,"13207","0090","2","","","","東京都","昭島市","美堀町","",3158,3057,3020,1837,223,929,31,37,101,-,7283,7158,7099,4813,481,1749,56,59,125,-,2.3062064598,2.3415112856,2.3506622517,2.6200326619,2.1569506726,1.8826695371,1.8064516129,1.5945945946,1.2376237624,-
4770,"13207","009001","3","","","","東京都","昭島市","美堀町","１丁目",555,554,548,388,-,155,5,6,1,-,1492,1490,1482,1133,-,334,15,8,2,-,2.6882882883,2.6895306859,2.7043795620,2.9201030928,-,2.1548387097,3.0000000000,1.3333333333,2.0000000000,-
4771,"13207","009002","3","","","","東京都","昭島市","美堀町","２丁目",750,746,731,447,65,216,3,15,4,-,1877,1866,1839,1191,156,484,8,27,11,-,2.5026666667,2.5013404826,2.5157318741,2.6644295302,2.4000000000,2.2407407407,2.6666666667,1.8000000000,2.7500000000,-
4772,"13207","009003","3","","","","東京都","昭島市","美堀町","３丁目",165,165,163,114,-,47,2,2,-,-,417,417,413,318,-,92,3,4,-,-,2.5272727273,2.5272727273,2.5337423313,2.7894736842,-,1.9574468085,1.5000000000,2.0000000000,-,-
4773,"13207","009004","3","","","","東京都","昭島市","美堀町","４丁目",387,298,297,77,158,49,13,1,89,-,750,658,654,228,325,87,14,4,92,-,1.9379844961,2.2080536913,2.2020202020,2.9610389610,2.0569620253,1.7755102041,1.0769230769,4.0000000000,1.0337078652,-
4774,"13207","009005","3","","","","東京都","昭島市","美堀町","５丁目",1301,1294,1281,811,-,462,8,13,7,-,2747,2727,2711,1943,-,752,16,16,20,-,2.1114527287,2.1074188563,2.1163153786,2.3958076449,-,1.6277056277,2.0000000000,1.2307692308,2.8571428571,-
4775,"13207","0100","2","","","","東京都","昭島市","昭和町","",2363,2329,2311,1119,73,1080,39,18,34,-,4701,4656,4625,2853,159,1565,48,31,45,-,1.9894202285,1.9991412623,2.0012981393,2.5495978552,2.1780821918,1.4490740741,1.2307692308,1.7222222222,1.3235294118,-
4776,"13207","010001","3","","","","東京都","昭島市","昭和町","１丁目",500,499,495,177,57,257,4,4,1,-,1060,1056,1049,520,123,401,5,7,4,-,2.1200000000,2.1162324649,2.1191919192,2.9378531073,2.1578947368,1.5603112840,1.2500000000,1.7500000000,4.0000000000,-
4777,"13207","010002","3","","","","東京都","昭島市","昭和町","２丁目",496,492,488,242,-,223,23,4,4,-,914,910,906,552,-,328,26,4,4,-,1.8427419355,1.8495934959,1.8565573770,2.2809917355,-,1.4708520179,1.1304347826,1.0000000000,1.0000000000,-
4778,"13207","010003","3","","","","東京都","昭島市","昭和町","３丁目",471,464,459,375,-,83,1,5,7,-,1106,1097,1085,954,-,130,1,12,9,-,2.3481953291,2.3642241379,2.3638344227,2.5440000000,-,1.5662650602,1.0000000000,2.4000000000,1.2857142857,-
4779,"13207","010004","3","","","","東京都","昭島市","昭和町","４丁目",286,282,281,109,16,149,7,1,4,-,551,541,540,280,36,214,10,1,10,-,1.9265734266,1.9184397163,1.9217081851,2.5688073394,2.2500000000,1.4362416107,1.4285714286,1.0000000000,2.5000000000,-
4780,"13207","010005","3","","","","東京都","昭島市","昭和町","５丁目",610,592,588,216,-,368,4,4,18,-,1070,1052,1045,547,-,492,6,7,18,-,1.7540983607,1.7770270270,1.7772108844,2.5324074074,-,1.3369565217,1.5000000000,1.7500000000,1.0000000000,-
4781,"13207","0111","2","","","","東京都","昭島市","大神町","",1708,1701,1683,1024,-,634,25,18,7,-,4385,4373,4345,3062,-,1207,76,28,12,-,2.5673302108,2.5708406820,2.5816993464,2.9902343750,-,1.9037854890,3.0400000000,1.5555555556,1.7142857143,-
4782,"13207","011101","3","","","","東京都","昭島市","大神町","１丁目",406,405,399,200,-,190,9,6,1,-,947,945,936,571,-,336,29,9,2,-,2.3325123153,2.3333333333,2.3458646617,2.8550000000,-,1.7684210526,3.2222222222,1.5000000000,2.0000000000,-
4783,"13207","011102","3","","","","東京都","昭島市","大神町","２丁目",322,320,315,175,-,131,9,5,2,-,818,816,810,551,-,237,22,6,2,-,2.5403726708,2.5500000000,2.5714285714,3.1485714286,-,1.8091603053,2.4444444444,1.2000000000,1.0000000000,-
4784,"13207","011103","3","","","","東京都","昭島市","大神町","３丁目",447,446,441,261,-,175,5,5,1,-,1072,1071,1062,717,-,327,18,9,1,-,2.3982102908,2.4013452915,2.4081632653,2.7471264368,-,1.8685714286,3.6000000000,1.8000000000,1.0000000000,-
4785,"13207","011104","3","","","","東京都","昭島市","大神町","４丁目",533,530,528,388,-,138,2,2,3,-,1548,1541,1537,1223,-,307,7,4,7,-,2.9043151970,2.9075471698,2.9109848485,3.1520618557,-,2.2246376812,3.5000000000,2.0000000000,2.3333333333,-
4786,"13207","0112","2","","","","東京都","昭島市","大神町","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4787,"13207","0130","2","","","","東京都","昭島市","松原町","",3934,3858,3831,2178,392,1216,45,27,76,-,8828,8745,8695,5789,848,1966,92,50,83,-,2.2440264362,2.2667185070,2.2696423910,2.6579430670,2.1632653061,1.6167763158,2.0444444444,1.8518518519,1.0921052632,-
4788,"13207","013001","3","","","","東京都","昭島市","松原町","１丁目",1800,1770,1763,1027,349,366,21,7,30,-,4193,4160,4153,2816,742,565,30,7,33,-,2.3294444444,2.3502824859,2.3556437890,2.7419668939,2.1260744986,1.5437158470,1.4285714286,1.0000000000,1.1000000000,-
4789,"13207","013002","3","","","","東京都","昭島市","松原町","２丁目",516,474,471,276,-,188,7,3,42,-,1101,1058,1050,708,-,323,19,8,43,-,2.1337209302,2.2320675105,2.2292993631,2.5652173913,-,1.7180851064,2.7142857143,2.6666666667,1.0238095238,-
4790,"13207","013003","3","","","","東京都","昭島市","松原町","３丁目",573,572,567,422,-,140,5,5,1,-,1417,1415,1405,1081,-,311,13,10,2,-,2.4729493892,2.4737762238,2.4779541446,2.5616113744,-,2.2214285714,2.6000000000,2.0000000000,2.0000000000,-
4791,"13207","013004","3","","","","東京都","昭島市","松原町","４丁目",404,402,399,156,43,197,3,3,2,-,796,794,787,429,106,249,3,7,2,-,1.9702970297,1.9751243781,1.9724310777,2.7500000000,2.4651162791,1.2639593909,1.0000000000,2.3333333333,1.0000000000,-
4792,"13207","013005","3","","","","東京都","昭島市","松原町","５丁目",641,640,631,297,-,325,9,9,1,-,1321,1318,1300,755,-,518,27,18,3,-,2.0608424337,2.0593750000,2.0602218700,2.5420875421,-,1.5938461538,3.0000000000,2.0000000000,3.0000000000,-
4793,"13207","0141","2","","","","東京都","昭島市","田中町","",2825,2817,2803,1145,838,795,25,14,8,-,6631,6607,6564,3207,1762,1527,68,43,24,-,2.3472566372,2.3454029109,2.3417766679,2.8008733624,2.1026252983,1.9207547170,2.7200000000,3.0714285714,3.0000000000,-
4794,"13207","014101","3","","","","東京都","昭島市","田中町","１丁目",1131,1128,1119,588,-,511,20,9,3,-,2622,2613,2586,1631,-,906,49,27,9,-,2.3183023873,2.3164893617,2.3109919571,2.7738095238,-,1.7729941292,2.4500000000,3.0000000000,3.0000000000,-
4795,"13207","014102","3","","","","東京都","昭島市","田中町","２丁目",579,575,572,341,-,227,4,3,4,-,1494,1481,1469,965,-,489,15,12,13,-,2.5803108808,2.5756521739,2.5681818182,2.8299120235,-,2.1541850220,3.7500000000,4.0000000000,3.2500000000,-
4796,"13207","014103","3","","","","東京都","昭島市","田中町","３丁目",1069,1068,1066,172,838,55,1,2,1,-,2400,2398,2394,502,1762,126,4,4,2,-,2.2450888681,2.2453183521,2.2457786116,2.9186046512,2.1026252983,2.2909090909,4.0000000000,2.0000000000,2.0000000000,-
4797,"13207","014104","3","","","","東京都","昭島市","田中町","４丁目",46,46,46,44,-,2,-,-,-,-,115,115,115,109,-,6,-,-,-,-,2.5000000000,2.5000000000,2.5000000000,2.4772727273,-,3.0000000000,-,-,-,-
4798,"13207","0142","2","","","","東京都","昭島市","田中町","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4799,"13207","0160","2","","","","東京都","昭島市","緑町","",4664,4556,4513,2488,11,1939,75,43,108,-,10778,10642,10552,6899,11,3474,168,90,136,-,2.3108919383,2.3358208955,2.3381342788,2.7729099678,1.0000000000,1.7916451779,2.2400000000,2.0930232558,1.2592592593,-
4800,"13207","016001","3","","","","東京都","昭島市","緑町","１丁目",914,909,901,566,-,319,16,8,5,-,2152,2144,2126,1517,-,567,42,18,8,-,2.3544857768,2.3586358636,2.3596004440,2.6802120141,-,1.7774294671,2.6250000000,2.2500000000,1.6000000000,-
4801,"13207","016002","3","","","","東京都","昭島市","緑町","２丁目",920,908,904,491,-,393,20,4,12,-,2179,2162,2155,1366,-,745,44,7,17,-,2.3684782609,2.3810572687,2.3838495575,2.7820773931,-,1.8956743003,2.2000000000,1.7500000000,1.4166666667,-
4802,"13207","016003","3","","","","東京都","昭島市","緑町","３丁目",937,931,917,603,-,311,3,14,6,-,2326,2310,2279,1728,-,545,6,31,16,-,2.4823906083,2.4812030075,2.4852780807,2.8656716418,-,1.7524115756,2.0000000000,2.2142857143,2.6666666667,-
4803,"13207","016004","3","","","","東京都","昭島市","緑町","４丁目",1217,1186,1172,558,11,586,17,14,31,-,2689,2650,2620,1537,11,1049,23,30,39,-,2.2095316352,2.2344013491,2.2354948805,2.7544802867,1.0000000000,1.7901023891,1.3529411765,2.1428571429,1.2580645161,-
4804,"13207","016005","3","","","","東京都","昭島市","緑町","５丁目",676,622,619,270,-,330,19,3,54,-,1432,1376,1372,751,-,568,53,4,56,-,2.1183431953,2.2122186495,2.2164781906,2.7814814815,-,1.7212121212,2.7894736842,1.3333333333,1.0370370370,-
4805,"13207","0171","2","","","","東京都","昭島市","拝島町","",3138,3082,3055,1263,1129,643,20,27,56,-,7088,7005,6950,3527,2344,1047,32,55,83,-,2.2587635437,2.2728747567,2.2749590835,2.7925574030,2.0761736050,1.6283048212,1.6000000000,2.0370370370,1.4821428571,-
4806,"13207","017101","3","","","","東京都","昭島市","拝島町","１丁目",408,406,402,254,-,142,6,4,2,-,907,900,889,653,-,226,10,11,7,-,2.2230392157,2.2167487685,2.2114427861,2.5708661417,-,1.5915492958,1.6666666667,2.7500000000,3.5000000000,-
4807,"13207","017102","3","","","","東京都","昭島市","拝島町","２丁目",676,656,643,389,-,251,3,13,20,-,1543,1519,1500,1121,-,373,6,19,24,-,2.2825443787,2.3155487805,2.3328149300,2.8817480720,-,1.4860557769,2.0000000000,1.4615384615,1.2000000000,-
4808,"13207","017103","3","","","","東京都","昭島市","拝島町","３丁目",1411,1406,1404,168,1129,106,1,2,5,-,3002,2986,2984,471,2344,166,3,2,16,-,2.1275690999,2.1237553343,2.1253561254,2.8035714286,2.0761736050,1.5660377358,3.0000000000,1.0000000000,3.2000000000,-
4809,"13207","017104","3","","","","東京都","昭島市","拝島町","４丁目",476,448,443,333,-,106,4,5,28,-,1216,1184,1166,943,-,219,4,18,32,-,2.5546218487,2.6428571429,2.6320541761,2.8318318318,-,2.0660377358,1.0000000000,3.6000000000,1.1428571429,-
4810,"13207","017105","3","","","","東京都","昭島市","拝島町","５丁目",167,166,163,119,-,38,6,3,1,-,420,416,411,339,-,63,9,5,4,-,2.5149700599,2.5060240964,2.5214723926,2.8487394958,-,1.6578947368,1.5000000000,1.6666666667,4.0000000000,-
4811,"13207","017106","3","","","","東京都","昭島市","拝島町","６丁目",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4812,"13207","0172","2","","","","東京都","昭島市","拝島町","",9,9,9,8,-,-,1,-,-,-,20,20,20,18,-,-,2,-,-,-,2.2222222222,2.2222222222,2.2222222222,2.2500000000,-,-,2.0000000000,-,-,-
4813,"13207","0190","2","","","","東京都","昭島市","築地町","",154,153,153,19,-,15,119,-,1,-,421,420,420,67,-,18,335,-,1,-,2.7337662338,2.7450980392,2.7450980392,3.5263157895,-,1.2000000000,2.8151260504,-,1.0000000000,-
4814,"13207","0201","2","","","","東京都","昭島市","中神町","",1401,1396,1382,1001,-,361,20,14,5,-,3739,3722,3695,2933,-,719,43,27,17,-,2.6688079943,2.6661891117,2.6736613603,2.9300699301,-,1.9916897507,2.1500000000,1.9285714286,3.4000000000,-
4815,"13207","020101","3","","","","東京都","昭島市","中神町","１丁目",649,647,641,482,-,153,6,6,2,-,1678,1672,1666,1345,-,301,20,6,6,-,2.5855161787,2.5842349304,2.5990639626,2.7904564315,-,1.9673202614,3.3333333333,1.0000000000,3.0000000000,-
4816,"13207","020102","3","","","","東京都","昭島市","中神町","２丁目",698,695,687,465,-,208,14,8,3,-,1902,1891,1870,1429,-,418,23,21,11,-,2.7249283668,2.7208633094,2.7219796215,3.0731182796,-,2.0096153846,1.6428571429,2.6250000000,3.6666666667,-
4817,"13207","020103","3","","","","東京都","昭島市","中神町","３丁目",54,54,54,54,-,-,-,-,-,-,159,159,159,159,-,-,-,-,-,-,2.9444444444,2.9444444444,2.9444444444,2.9444444444,-,-,-,-,-,-
4818,"13207","0202","2","","","","東京都","昭島市","中神町","",3865,3825,3790,1461,761,1410,158,35,40,-,8297,8216,8157,3920,1508,2291,438,59,81,-,2.1467011643,2.1479738562,2.1522427441,2.6830937714,1.9816031537,1.6248226950,2.7721518987,1.6857142857,2.0250000000,-
4819,"13207","020290","3","","","","東京都","昭島市","中神町","",2569,2556,2532,1029,559,809,135,24,13,-,5763,5746,5701,2815,1121,1364,401,45,17,-,2.2432853250,2.2480438185,2.2515797788,2.7356656948,2.0053667263,1.6860321384,2.9703703704,1.8750000000,1.3076923077,-
4820,"13207","020291","3","","","","東京都","昭島市","中神町","",1296,1269,1258,432,202,601,23,11,27,-,2534,2470,2456,1105,387,927,37,14,64,-,1.9552469136,1.9464144996,1.9523052464,2.5578703704,1.9158415842,1.5424292845,1.6086956522,1.2727272727,2.3703703704,-
4821,"13207","0211","2","","","","東京都","昭島市","宮沢町","",1827,1801,1785,1050,44,674,17,16,26,-,4509,4478,4440,2963,130,1310,37,38,31,-,2.4679802956,2.4863964464,2.4873949580,2.8219047619,2.9545454545,1.9436201780,2.1764705882,2.3750000000,1.1923076923,-
4822,"13207","021101","3","","","","東京都","昭島市","宮沢町","１丁目",534,533,530,219,44,260,7,3,1,-,1356,1355,1349,627,130,577,15,6,1,-,2.5393258427,2.5422138837,2.5452830189,2.8630136986,2.9545454545,2.2192307692,2.1428571429,2.0000000000,1.0000000000,-
4823,"13207","021102","3","","","","東京都","昭島市","宮沢町","２丁目",1049,1025,1013,682,-,321,10,12,24,-,2567,2539,2508,1922,-,564,22,31,28,-,2.4470924690,2.4770731707,2.4758144126,2.8181818182,-,1.7570093458,2.2000000000,2.5833333333,1.1666666667,-
4824,"13207","021103","3","","","","東京都","昭島市","宮沢町","３丁目",244,243,242,149,-,93,-,1,1,-,586,584,583,414,-,169,-,1,2,-,2.4016393443,2.4032921811,2.4090909091,2.7785234899,-,1.8172043011,-,1.0000000000,2.0000000000,-
4825,"13207","0212","2","","","","東京都","昭島市","宮沢町","",1311,1277,1271,1016,-,244,11,6,34,-,3359,3318,3308,2911,-,381,16,10,41,-,2.5621662853,2.5982772122,2.6026750590,2.8651574803,-,1.5614754098,1.4545454545,1.6666666667,1.2058823529,-
4826,"13207","0221","2","","","","東京都","昭島市","上川原町","",1399,1391,1376,559,57,724,36,15,8,-,3010,3000,2975,1554,101,1245,75,25,10,-,2.1515368120,2.1567217829,2.1620639535,2.7799642218,1.7719298246,1.7196132597,2.0833333333,1.6666666667,1.2500000000,-
4827,"13207","022101","3","","","","東京都","昭島市","上川原町","１丁目",407,406,398,217,-,169,12,8,1,-,930,927,912,577,-,299,36,15,3,-,2.2850122850,2.2832512315,2.2914572864,2.6589861751,-,1.7692307692,3.0000000000,1.8750000000,3.0000000000,-
4828,"13207","022102","3","","","","東京都","昭島市","上川原町","２丁目",592,585,582,186,57,318,21,3,7,-,1189,1182,1177,540,101,501,35,5,7,-,2.0084459459,2.0205128205,2.0223367698,2.9032258065,1.7719298246,1.5754716981,1.6666666667,1.6666666667,1.0000000000,-
4829,"13207","022103","3","","","","東京都","昭島市","上川原町","３丁目",400,400,396,156,-,237,3,4,-,-,891,891,886,437,-,445,4,5,-,-,2.2275000000,2.2275000000,2.2373737374,2.8012820513,-,1.8776371308,1.3333333333,1.2500000000,-,-
4830,"13207","0222","2","","","","東京都","昭島市","上川原町","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4831,"13208","","1","","","","東京都","調布市","","",110450,108997,108154,49889,8146,47520,2599,843,1453,-,224932,222962,221480,128600,16154,70781,5945,1482,1970,-,2.0365052060,2.0455792361,2.0478207001,2.5777225440,1.9830591701,1.4894991582,2.2874182378,1.7580071174,1.3558155540,-
4832,"13208","0010","2","","","","東京都","調布市","飛田給","",4231,4172,4140,1503,27,2480,130,32,59,-,7945,7866,7820,3932,85,3532,271,46,79,-,1.8778066651,1.8854266539,1.8888888889,2.6161011311,3.1481481481,1.4241935484,2.0846153846,1.4375000000,1.3389830508,-
4833,"13208","001001","3","","","","東京都","調布市","飛田給","１丁目",1700,1686,1674,527,27,1080,40,12,14,-,3101,3075,3059,1355,85,1530,89,16,26,-,1.8241176471,1.8238434164,1.8273596177,2.5711574953,3.1481481481,1.4166666667,2.2250000000,1.3333333333,1.8571428571,-
4834,"13208","001002","3","","","","東京都","調布市","飛田給","２丁目",1659,1637,1632,491,-,1070,71,5,22,-,2846,2817,2812,1221,-,1451,140,5,29,-,1.7154912598,1.7208307880,1.7230392157,2.4867617108,-,1.3560747664,1.9718309859,1.0000000000,1.3181818182,-
4835,"13208","001003","3","","","","東京都","調布市","飛田給","３丁目",872,849,834,485,-,330,19,15,23,-,1998,1974,1949,1356,-,551,42,25,24,-,2.2912844037,2.3250883392,2.3369304556,2.7958762887,-,1.6696969697,2.2105263158,1.6666666667,1.0434782609,-
4836,"13208","0020","2","","","","東京都","調布市","上石原","",5167,5111,5060,2585,50,2354,71,51,56,-,10633,10535,10451,6913,114,3257,167,84,98,-,2.0578672344,2.0612404617,2.0654150198,2.6742746615,2.2800000000,1.3836023789,2.3521126761,1.6470588235,1.7500000000,-
4837,"13208","002001","3","","","","東京都","調布市","上石原","１丁目",1919,1899,1879,492,50,1308,29,20,20,-,3126,3097,3067,1222,114,1672,59,30,29,-,1.6289734237,1.6308583465,1.6322511974,2.4837398374,2.2800000000,1.2782874618,2.0344827586,1.5000000000,1.4500000000,-
4838,"13208","002002","3","","","","東京都","調布市","上石原","２丁目",1146,1135,1122,467,-,638,17,13,11,-,2206,2174,2152,1191,-,931,30,22,32,-,1.9249563700,1.9154185022,1.9180035651,2.5503211991,-,1.4592476489,1.7647058824,1.6923076923,2.9090909091,-
4839,"13208","002003","3","","","","東京都","調布市","上石原","３丁目",2102,2077,2059,1626,-,408,25,18,25,-,5301,5264,5232,4500,-,654,78,32,37,-,2.5218839201,2.5344246509,2.5410393395,2.7675276753,-,1.6029411765,3.1200000000,1.7777777778,1.4800000000,-
4840,"13208","0030","2","","","","東京都","調布市","富士見町","",4105,3946,3916,2320,451,1100,45,30,159,-,8618,8411,8353,5705,1001,1535,112,58,207,-,2.0993909866,2.1315255955,2.1330439224,2.4590517241,2.2195121951,1.3954545455,2.4888888889,1.9333333333,1.3018867925,-
4841,"13208","003001","3","","","","東京都","調布市","富士見町","１丁目",675,633,625,273,98,241,13,8,42,-,1331,1286,1276,664,212,361,39,10,45,-,1.9718518519,2.0315955766,2.0416000000,2.4322344322,2.1632653061,1.4979253112,3.0000000000,1.2500000000,1.0714285714,-
4842,"13208","003002","3","","","","東京都","調布市","富士見町","２丁目",1309,1301,1290,759,43,479,9,11,8,-,2616,2605,2583,1827,104,631,21,22,11,-,1.9984721161,2.0023059185,2.0023255814,2.4071146245,2.4186046512,1.3173277662,2.3333333333,2.0000000000,1.3750000000,-
4843,"13208","003003","3","","","","東京都","調布市","富士見町","３丁目",1161,1125,1121,734,166,209,12,4,36,-,2616,2544,2534,1837,363,303,31,10,72,-,2.2532299742,2.2613333333,2.2604817128,2.5027247956,2.1867469880,1.4497607656,2.5833333333,2.5000000000,2.0000000000,-
4844,"13208","003004","3","","","","東京都","調布市","富士見町","４丁目",960,887,880,554,144,171,11,7,73,-,2055,1976,1960,1377,322,240,21,16,79,-,2.1406250000,2.2277339346,2.2272727273,2.4855595668,2.2361111111,1.4035087719,1.9090909091,2.2857142857,1.0821917808,-
4845,"13208","0040","2","","","","東京都","調布市","下石原","",4183,4168,4132,1724,169,2172,67,36,15,-,8241,8215,8164,4391,362,3243,168,51,26,-,1.9701171408,1.9709692898,1.9757986447,2.5469837587,2.1420118343,1.4930939227,2.5074626866,1.4166666667,1.7333333333,-
4846,"13208","004001","3","","","","東京都","調布市","下石原","１丁目",1315,1310,1296,349,138,791,18,14,5,-,2414,2408,2388,927,308,1111,42,20,6,-,1.8357414449,1.8381679389,1.8425925926,2.6561604585,2.2318840580,1.4045512010,2.3333333333,1.4285714286,1.2000000000,-
4847,"13208","004002","3","","","","東京都","調布市","下石原","２丁目",1162,1160,1151,465,-,654,32,9,2,-,2233,2231,2220,1191,-,950,79,11,2,-,1.9216867470,1.9232758621,1.9287576021,2.5612903226,-,1.4525993884,2.4687500000,1.2222222222,1.0000000000,-
4848,"13208","004003","3","","","","東京都","調布市","下石原","３丁目",1706,1698,1685,910,31,727,17,13,8,-,3594,3576,3556,2273,54,1182,47,20,18,-,2.1066822978,2.1060070671,2.1103857567,2.4978021978,1.7419354839,1.6258596974,2.7647058824,1.5384615385,2.2500000000,-
4849,"13208","0050","2","","","","東京都","調布市","小島町","",5215,5124,5084,2097,113,2769,105,40,91,-,9438,9326,9260,4902,255,3879,224,66,112,-,1.8097794823,1.8200624512,1.8214004721,2.3376251788,2.2566371681,1.4008667389,2.1333333333,1.6500000000,1.2307692308,-
4850,"13208","005001","3","","","","東京都","調布市","小島町","１丁目",1136,1132,1123,467,-,619,37,9,4,-,2081,2071,2058,1043,-,932,83,13,10,-,1.8318661972,1.8295053004,1.8325912734,2.2334047109,-,1.5056542811,2.2432432432,1.4444444444,2.5000000000,-
4851,"13208","005002","3","","","","東京都","調布市","小島町","２丁目",1749,1679,1664,627,-,1012,25,15,70,-,2946,2872,2848,1375,-,1417,56,24,74,-,1.6843910806,1.7105419893,1.7115384615,2.1929824561,-,1.4001976285,2.2400000000,1.6000000000,1.0571428571,-
